date,open,high,low,close,volume
2022-05-16,0.1049999967217445,0.1099999994039535,0.1049999967217445,0.1049999967217445,500702
2022-05-13,0.1099999994039535,0.1150000020861625,0.1049999967217445,0.1049999967217445,67737
2022-05-12,0.1099999994039535,0.1199999973177909,0.1049999967217445,0.1199999973177909,622000
2022-05-11,0.1075000017881393,0.1099999994039535,0.1049999967217445,0.1049999967217445,92356
2022-05-10,0.1099999994039535,0.1099999994039535,0.1049999967217445,0.1049999967217445,12451
2022-05-09,0.1099999994039535,0.1150000020861625,0.1049999967217445,0.1049999967217445,11162
2022-05-06,0.1049999967217445,0.1199999973177909,0.1049999967217445,0.1199999973177909,294233
2022-05-05,0.1099999994039535,0.1150000020861625,0.1049999967217445,0.1049999967217445,62396
2022-05-04,0.1150000020861625,0.1150000020861625,0.1099999994039535,0.1099999994039535,349510
2022-05-03,0.1099999994039535,0.1150000020861625,0.1099999994039535,0.1099999994039535,217849
